County,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,,,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022
Brewster,9232,9232,9232,9232,9232,9232,9232,9232,6447,6513,7029,6998,7364,7213,7212,7515,7509,2233,3908,2949,2892,4295,4086,2303,4822,3808,0.346362649,0.600030708,0.419547589,0.413260932,0.583242803,,,,,,,13.06617534,15.38461538,2.050516024,8.546610827,11.86598418,3.058016576,2.617726561,6.828851899,4.10370165,9.902763562,23.38792221,12.27008149,29.51186744,3.134796238,-20.36652835,38.55544252,29.12851814,-6.80372002
Briscoe,1637,1637,1637,1637,1637,1637,1637,1637,1131,1121,1134,1079,1096,1072,1025,1025,994,423,713,527,499,744,632,552,729,596,0.374005305,0.636039251,0.464726631,0.462465246,0.678832117,,,,,,,-2.23015165,-8.563782337,-6.47810219,-4.597701149,-9.372236958,-5.00463392,-5.467372134,-12.34567901,-7.276119403,4.347826087,2.244039271,-2.016129032,17.96690307,30.4964539,10.62124248,19.92409867,13.09297913,-5.696202532
Brooks,7223,7223,7223,7223,7223,7223,7223,7223,6479,6583,6430,6445,6426,5805,5529,5505,5152,2098,2429,2513,2246,2660,1924,1523,2484,2096,0.323815404,0.368980708,0.390824261,0.348487199,0.413943355,,,,,,,-2.384930883,-16.37551268,-14.33239963,-0.524772341,-14.6627566,-14.21256788,-9.720062208,-19.8755832,-11.24892334,9.510086455,2.264306299,-6.616541353,7.054337464,-27.40705434,-32.190561,-23.43812177,-16.59371269,8.93970894
Brown,38106,38106,38106,38106,38106,38106,38106,38106,21826,21884,22747,22773,23420,23193,23332,23808,24656,5278,13947,8203,9477,14236,12356,6938,16060,12291,0.241821681,0.637314933,0.360618983,0.416150705,0.607856533,,,,,,,7.01882654,8.791811369,1.656703672,4.338861908,6.90002749,2.454661222,1.960698114,8.39231547,6.30793774,2.072130207,15.15021152,12.81258781,79.55665025,31.45130731,-26.79117864,50.62781909,49.83542606,-0.526060214
Burleson,17187,17187,17187,17187,17187,17187,17187,17187,10589,10697,11048,11274,11635,11745,11919,12403,12926,1688,6465,4212,3944,6964,6606,4284,8664,6738,0.159410709,0.604375058,0.381245474,0.349831471,0.598538891,,,,,,,8.768813686,15.94839675,6.600773528,6.468977241,12.56020399,5.72112826,6.308834178,16.99855177,10.0553427,7.718484145,34.01392111,24.4112579,133.6492891,153.7914692,8.620689655,56.83760684,59.97150997,1.99818347
Burnet,42750,42750,42750,42750,42750,42750,42750,42750,25583,25848,27429,28194,29579,30832,31914,33629,36397,6527,17083,12040,11649,19517,18693,9377,24925,21199,0.25513036,0.660902197,0.438951475,0.413173016,0.659826228,,,,,,,14.43438564,30.10290932,13.69214646,10.20599617,24.74690224,13.19429666,12.40657698,32.69532247,18.04942916,14.24808289,45.90528596,27.70917662,78.47403095,43.66477708,-19.50382007,55.25747508,76.07142857,13.40608784
Caldwell,38066,38066,38066,38066,38066,38066,38066,38066,19757,19963,21213,21163,22533,23626,25073,25826,25278,3211,11112,8910,6430,12294,11526,6220,14980,11417,0.162524675,0.556629765,0.420025456,0.30383216,0.545599787,,,,,,,12.87381656,29.36933327,14.61412151,7.11646505,26.90691907,18.47564145,11.37510017,19.16277754,6.992296622,10.63714903,34.80921526,21.84805596,100.2491436,93.70912488,-3.265940902,29.36026936,28.1369248,-0.94568801
Calhoun,21381,21381,21381,21381,21381,21381,21381,21381,11875,11954,12696,12656,12862,12742,12710,13039,12868,2894,6708,4163,3784,7077,6134,3161,7901,5668,0.243705263,0.561151079,0.327898551,0.298988622,0.55022547,,,,,,,7.595783838,9.076459762,1.376146789,6.576842105,7.031578947,0.426675095,0.362318841,1.354757404,0.988855753,5.500894454,17.78473465,11.6433517,30.75328265,9.225984796,-16.4640592,47.34566418,36.1518136,-7.597000326
Callahan,13544,13544,13544,13544,13544,13544,13544,13544,8622,8651,8836,8956,9198,9261,9424,9738,10015,2150,5324,3018,3687,5684,5063,2732,6833,5382,0.249362097,0.615420183,0.341557266,0.411679321,0.617960426,,,,,,,6.322968443,12.56502138,5.870841487,3.873811181,9.301786129,5.225547119,4.809868719,13.34314169,8.141669366,6.761833208,28.34335086,20.21463758,71.48837209,27.06976744,-25.9018172,67.76010603,78.33001988,6.300612285
Cameron,406220,406220,406220,406220,406220,406220,406220,406220,172491,176425,186662,188985,197684,206289,213879,218663,227865,29000,76895,40439,44475,93587,79358,41309,115639,77958,0.168124714,0.435850928,0.216642916,0.235336138,0.473417171,,,,,,,12.04987955,23.94105144,10.61239149,9.56223803,23.99429535,13.17247401,10.51472715,22.07358755,10.45911319,21.70752325,50.38559074,23.56310171,53.36206897,42.44482759,-7.118605958,96.24125226,92.77924776,-1.764157363
Camp,12401,12401,12401,12401,12401,12401,12401,12401,6925,6992,7231,7295,7580,7581,7700,7887,8052,1175,4335,2613,2512,4542,3899,2630,5058,3983,0.16967509,0.619994279,0.361360808,0.344345442,0.599208443,,,,,,,8.409610984,12.80034325,4.050131926,5.342960289,11.19133574,5.551747772,4.840271055,11.35389296,6.212900673,4.775086505,16.67820069,11.36063408,113.787234,123.8297872,4.697452229,49.21546116,52.43015691,2.154398564
Carson,6182,6182,6182,6182,6182,6182,6182,6182,4217,4198,4254,4251,4317,4224,4264,4332,4155,1182,2775,1864,1622,2991,2466,1596,3137,2399,0.280294048,0.661029061,0.438175835,0.381557281,0.692842252,,,,,,,2.834683182,3.191996189,0.347463516,0.806260375,1.1145364,0.305810398,-0.705218618,-2.327221439,-1.633522727,7.783783784,13.04504505,4.881310598,37.2250423,35.02538071,-1.602959309,32.29613734,28.70171674,-2.716950527
