ID,County,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022
42,Coke,3320,3320,3320,3320,3320,3320,3320,3320,2312,2308,2134,2120,2192,2275,2296,2409,2263,589,1411,787,906,1457,1370,951,1779,1391,0.2548,0.6114,0.3688,0.4274,0.6647,0.6022,0.4142,0.7385,0.6147,-5.025996534,4.376083189,9.899635036,-8.30449827,-0.692041522,8.301886792,6.607310216,6.044985942,-0.527472527,3.26009922,26.08079376,22.1002059,53.82003396,61.46010187,4.966887417,74.07878018,76.74714104,1.532846715
43,Coleman,8895,8895,8895,8895,8895,8895,8895,8895,5988,5952,5901,5804,5942,5863,5814,5949,5982,800,3492,2240,2450,3643,3135,2519,4156,3242,0.1336,0.5867,0.3796,0.4221,0.6131,0.5347,0.4333,0.6986,0.542,-0.168010753,-0.050403226,0.117805453,-3.072812291,-2.905811623,0.172294969,-0.643958651,1.372648704,2.029677639,4.32416953,19.01489118,14.08180071,206.25,214.875,2.816326531,39.95535714,44.73214286,3.41307815
44,Collin,782341,782341,782341,782341,782341,782341,782341,782341,429866,439449,486377,507061,538395,577888,605756,649456,695711,53929,303568,178057,157075,364432,355975,154159,494259,366168,0.1255,0.6908,0.3661,0.3098,0.6769,0.616,0.2545,0.761,0.5263,22.51592335,47.78870813,20.62816334,17.95792177,40.91740217,19.46412759,18.81482883,43.03945293,20.3885528,20.04954409,62.81656828,35.62447864,191.262586,185.8554766,-1.856438007,99.92193511,105.6465065,2.863403329
45,Collingsworth,3057,3057,3057,3057,3057,3057,3057,3057,1831,1865,1891,1851,1901,1895,1903,1940,1858,358,1148,830,630,1157,948,792,1218,925,0.1955,0.6155,0.4389,0.3404,0.6086,0.5003,0.4162,0.6278,0.4978,1.930294906,4.021447721,2.051551815,1.09229929,3.932277444,2.809292274,0.211528292,-1.745108408,-1.952506596,0.783972125,6.097560976,5.272255834,75.97765363,121.2290503,25.71428571,14.21686747,11.44578313,-2.426160338
46,Colorado,20874,20874,20874,20874,20874,20874,20874,20874,13004,13053,13412,13395,13869,13858,13977,14311,14356,3257,8130,5220,4398,8591,7673,4774,10013,7640,0.2505,0.6228,0.3892,0.3283,0.6194,0.5537,0.3416,0.6997,0.5322,6.251436451,9.637631196,3.186963732,3.006767149,7.482313134,4.344904815,3.325380256,7.038473009,3.593592149,5.670356704,23.16113161,16.5522058,35.03223826,46.57660424,8.549340609,46.99233716,46.36015326,-0.4300795
47,Comal,108472,108472,108472,108472,108472,108472,108472,108472,74158,75500,82305,86517,92385,100085,106737,115585,130298,15221,51874,34932,33967,63136,62296,31740,89216,74956,0.2053,0.6871,0.4244,0.3926,0.6834,0.6224,0.2974,0.7719,0.5753,22.36423841,53.09271523,25.11230178,16.66576769,43.93187519,23.37112937,21.60257579,58.31115971,30.18734076,21.71029803,71.98596599,41.30765332,123.1587938,108.527692,-6.556363529,78.33505096,114.5768922,20.32233209
48,Comanche,13974,13974,13974,13974,13974,13974,13974,13974,8360,8397,8593,8709,8911,9139,9277,9533,9829,2048,4903,3080,3253,5239,4635,3136,6086,4831,0.245,0.5839,0.3584,0.3735,0.5879,0.5072,0.338,0.6384,0.4915,6.121233774,13.52864118,6.980136909,4.174641148,10.96889952,6.521988747,6.354009077,14.38380077,7.550060182,6.852947175,24.12808485,16.16720748,58.83789063,53.125,-3.596679988,50.48701299,56.85064935,4.228694714
49,Concho,4087,4087,4087,4087,4087,4087,4087,4087,1657,1669,1645,1632,1661,1663,1669,1759,1729,459,1028,606,726,1096,985,876,1270,946,0.277,0.6159,0.3684,0.4449,0.6598,0.5923,0.5249,0.722,0.5471,-0.479328939,5.392450569,5.900060205,-1.508750754,0.724200362,2.267156863,1.094224924,5.106382979,3.968731209,6.614785992,23.54085603,15.87591241,58.16993464,90.8496732,20.66115702,62.54125413,56.10561056,-3.959390863
50,Cooke,38437,38437,38437,38437,38437,38437,38437,38437,22856,22880,23973,24234,25087,25588,26007,27175,28677,5715,14420,8816,9610,16111,14574,10048,19119,15391,0.25,0.6302,0.3677,0.3966,0.6422,0.5696,0.3864,0.7036,0.5367,9.645979021,18.77185315,8.323035835,6.029051453,13.78631432,7.316167368,6.736745505,19.62207483,12.07206503,11.72676838,32.58668516,18.67047359,68.15398075,75.81802275,4.557752341,65.31306715,74.58030853,5.605873473
51,Coryell,75388,75388,75388,75388,75388,75388,75388,75388,34019,34671,35244,35488,37604,38461,39167,41373,42920,5412,16849,8788,9355,18643,16128,9622,23430,16379,0.1591,0.486,0.2493,0.2636,0.4958,0.4193,0.2457,0.5663,0.3816,8.459519483,19.33027602,10.02286991,4.318175137,15.13271995,10.36688458,9.127794802,21.77959369,11.59356231,10.64751617,39.05869785,25.67719788,72.85661493,77.79009608,2.854088723,83.52298589,86.37915339,1.556299603
